Date : 2025-06-03 20:27:34
Directory : c:\Users\Aqua\Programming\AeroJS
Total : 557 files,  163665 codes, 53095 comments, 40663 blanks, all 257423 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| C++        |        523 |    157,234 |     53,068 |     38,876 |    249,178 |
| Markdown   |         31 |      6,170 |          0 |      1,749 |      7,919 |
| JavaScript |          2 |        149 |         27 |         38 |        214 |
| JSON       |          1 |        112 |          0 |          0 |        112 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |        557 |    163,665 |     53,095 |     40,663 |    257,423 |
| . (Files)                                                                                            |         10 |      1,370 |         88 |        353 |      1,811 |
| .github                                                                                              |          1 |          0 |          0 |          1 |          1 |
| docs                                                                                                 |          8 |      3,075 |          0 |      1,014 |      4,089 |
| docs (Files)                                                                                         |          1 |         32 |          0 |         11 |         43 |
| docs\api                                                                                             |          7 |      3,043 |          0 |      1,003 |      4,046 |
| docs\api (Files)                                                                                     |          6 |      2,889 |          0 |        951 |      3,840 |
| docs\api\transformers                                                                                |          1 |        154 |          0 |         52 |        206 |
| include                                                                                              |         16 |     19,918 |      6,298 |      3,538 |     29,754 |
| include\aerojs                                                                                       |         14 |      1,914 |      1,799 |        476 |      4,189 |
| include\aerojs (Files)                                                                               |         13 |      1,859 |      1,721 |        445 |      4,025 |
| include\aerojs\transformers                                                                          |          1 |         55 |         78 |         31 |        164 |
| include\nlohmann                                                                                     |          2 |     18,004 |      4,499 |      3,062 |     25,565 |
| rules                                                                                                |          3 |      1,408 |          0 |        202 |      1,610 |
| src                                                                                                  |        501 |    134,403 |     45,742 |     34,520 |    214,665 |
| src (Files)                                                                                          |          1 |        315 |         19 |         46 |        380 |
| src\core                                                                                             |        467 |    125,830 |     43,526 |     32,156 |    201,512 |
| src\core (Files)                                                                                     |         22 |      4,037 |        914 |      1,031 |      5,982 |
| src\core\jit                                                                                         |        149 |     55,245 |     16,449 |     13,927 |     85,621 |
| src\core\jit (Files)                                                                                 |         15 |      3,650 |        994 |        901 |      5,545 |
| src\core\jit\backend                                                                                 |         33 |     16,041 |      5,038 |      4,199 |     25,278 |
| src\core\jit\backend (Files)                                                                         |          2 |        469 |        111 |         99 |        679 |
| src\core\jit\backend\arm64                                                                           |         17 |      6,970 |      2,377 |      1,866 |     11,213 |
| src\core\jit\backend\riscv                                                                           |          8 |      4,352 |      1,591 |      1,231 |      7,174 |
| src\core\jit\backend\x86_64                                                                          |          6 |      4,250 |        959 |      1,003 |      6,212 |
| src\core\jit\baseline                                                                                |         22 |      5,488 |      1,982 |      1,449 |      8,919 |
| src\core\jit\bytecode                                                                                |         12 |      3,034 |        649 |        693 |      4,376 |
| src\core\jit\deoptimizer                                                                             |          2 |        306 |         93 |         81 |        480 |
| src\core\jit\ic                                                                                      |         20 |      8,394 |      3,058 |      2,323 |     13,775 |
| src\core\jit\ir                                                                                      |         20 |     10,029 |      2,314 |      2,204 |     14,547 |
| src\core\jit\metatracing                                                                             |          6 |      3,781 |      1,171 |        966 |      5,918 |
| src\core\jit\optimizing                                                                              |          9 |      2,601 |        625 |        611 |      3,837 |
| src\core\jit\profiler                                                                                |          8 |      1,405 |        443 |        394 |      2,242 |
| src\core\jit\registers                                                                               |          2 |        516 |         82 |        106 |        704 |
| src\core\mcp                                                                                         |         16 |      3,953 |      1,116 |        907 |      5,976 |
| src\core\mcp (Files)                                                                                 |          3 |        632 |        162 |        187 |        981 |
| src\core\mcp\examples                                                                                |          1 |        115 |         30 |         38 |        183 |
| src\core\mcp\server                                                                                  |          2 |        659 |        316 |        176 |      1,151 |
| src\core\mcp\tool                                                                                    |          6 |        774 |        236 |        200 |      1,210 |
| src\core\mcp\tools                                                                                   |          2 |      1,574 |        245 |        251 |      2,070 |
| src\core\mcp\utils                                                                                   |          2 |        199 |        127 |         55 |        381 |
| src\core\network                                                                                     |          4 |      1,967 |        622 |        540 |      3,129 |
| src\core\parser                                                                                      |        108 |     19,320 |      7,094 |      4,072 |     30,486 |
| src\core\parser (Files)                                                                              |         10 |      6,120 |      1,564 |      1,068 |      8,752 |
| src\core\parser\ast                                                                                  |         86 |      8,808 |      4,093 |      2,144 |     15,045 |
| src\core\parser\ast (Files)                                                                          |          4 |        298 |         99 |         58 |        455 |
| src\core\parser\ast\nodes                                                                            |         81 |      8,086 |      3,930 |      2,053 |     14,069 |
| src\core\parser\ast\nodes (Files)                                                                    |          5 |        939 |        446 |        169 |      1,554 |
| src\core\parser\ast\nodes\declarations                                                               |          4 |        467 |        205 |        124 |        796 |
| src\core\parser\ast\nodes\expressions                                                                |         46 |      3,739 |      1,868 |        955 |      6,562 |
| src\core\parser\ast\nodes\patterns                                                                   |          7 |        700 |        472 |        174 |      1,346 |
| src\core\parser\ast\nodes\statements                                                                 |         19 |      2,241 |        939 |        631 |      3,811 |
| src\core\parser\ast\visitors                                                                         |          1 |        424 |         64 |         33 |        521 |
| src\core\parser\json                                                                                 |          4 |      1,505 |        697 |        331 |      2,533 |
| src\core\parser\lexer                                                                                |          7 |      2,843 |        688 |        513 |      4,044 |
| src\core\parser\lexer (Files)                                                                        |          3 |      2,221 |        348 |        355 |      2,924 |
| src\core\parser\lexer\scanner                                                                        |          2 |        204 |        171 |         75 |        450 |
